size,FromFront,FromBack
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,0,0
900,0,0
1000,0,1
1100,0,1
1200,1,1
1300,0,1
1400,1,1
1500,1,1
1600,1,2
1700,1,2
1800,1,2
1900,1,2
2000,1,3
2100,1,3
2200,2,3
2300,1,4
2400,2,4
2500,2,4
2600,2,5
2700,3,5
2800,3,5
2900,3,6
3000,3,6
3100,4,7
3200,4,8
3300,4,9
3400,5,8
3500,4,8
3600,4,9
3700,5,9
3800,5,10
3900,5,11
4000,5,11
4100,5,11
4200,5,12
4300,6,13
4400,6,13
4500,7,15
4600,7,15
4700,8,15
4800,7,17
4900,8,16
5000,8,18
5100,9,18
5200,9,20
5300,9,20
5400,10,20
5500,10,21
5600,10,23
5700,11,22
5800,11,25
5900,11,27
6000,12,25
6100,13,32
6200,12,27
6300,13,27
6400,14,29
6500,15,29
6600,14,31
6700,15,31
6800,16,33
6900,16,34
7000,16,36
7100,17,37
7200,17,39
7300,17,40
7400,18,40
7500,20,43
7600,20,43
7700,20,44
7800,20,45
7900,21,46
8000,21,46
8100,22,52
8200,23,57
8300,24,51
8400,23,67
8500,24,58
8600,25,59
8700,25,58
8800,26,56
8900,27,58
9000,27,60
9100,29,61
9200,29,62
9300,32,63
9400,31,64
9500,31,66
9600,31,66
9700,32,69
9800,32,71
9900,40,73
10000,38,73
10100,44,75
10200,38,77
10300,48,78
10400,43,104
10500,41,84
10600,45,84
10700,46,85
10800,42,89
10900,44,96
11000,43,91
11100,45,91
11200,43,92
11300,47,98
11400,51,98
11500,47,97
11600,48,104
11700,51,110
11800,54,102
11900,51,105
12000,54,107
12100,51,112
12200,54,113
12300,55,111
12400,57,128
12500,59,123
12600,56,118
12700,57,123
12800,58,121
12900,59,125
13000,60,125
13100,61,127
13200,79,127
13300,73,129
13400,73,133
13500,71,133
13600,75,140
13700,68,140
13800,77,141
13900,70,152
14000,72,155
14100,72,152
14200,75,153
14300,79,158
14400,76,153
14500,75,157
14600,76,157
14700,77,158
14800,77,168
14900,82,165
15000,82,166
15100,83,172
15200,84,173
15300,83,175
15400,84,185
15500,91,178
15600,90,184
15700,97,184
15800,91,186
15900,92,194
16000,93,194
16100,96,199
16200,98,203
16300,97,205
16400,100,210
16500,110,204
16600,103,210
16700,122,210
16800,104,214
16900,108,215
17000,114,216
17100,145,226
17200,113,220
17300,125,226
17400,125,236
17500,117,232
17600,119,239
17700,119,241
17800,122,245
17900,123,251
18000,124,248
18100,128,251
18200,129,256
18300,127,260
18400,126,253
18500,127,260
18600,131,260
18700,130,268
18800,142,289
18900,143,273
19000,136,278
19100,138,272
19200,155,290
19300,153,281
19400,142,285
19500,180,305
19600,146,296
19700,152,309
19800,154,304
19900,191,317
