size,ForLoop,WhileLoop,ForEach
0,0,0,0
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,0,0,0
600,0,0,0
700,0,0,0
800,0,0,0
900,0,0,0
1000,1,0,0
1100,0,0,0
1200,1,0,0
1300,1,0,0
1400,1,0,0
1500,1,0,0
1600,1,0,0
1700,1,0,0
1800,2,0,0
1900,2,0,0
2000,1,0,0
2100,3,0,0
2200,2,0,0
2300,3,0,0
2400,3,0,0
2500,3,0,0
2600,3,0,0
2700,4,0,0
2800,4,0,0
2900,4,0,0
3000,5,0,0
3100,5,0,0
3200,5,0,0
3300,6,0,0
3400,6,0,0
3500,6,0,0
3600,7,0,0
3700,7,0,0
3800,7,0,0
3900,8,0,0
4000,8,0,0
4100,9,0,0
4200,9,0,0
4300,10,0,0
4400,10,0,0
4500,10,0,0
4600,11,0,0
4700,11,0,0
4800,12,0,0
4900,13,0,0
5000,13,0,0
5100,14,0,0
5200,14,0,0
5300,14,0,0
5400,15,0,0
5500,16,0,0
5600,16,0,0
5700,17,0,0
5800,17,0,0
5900,18,0,0
6000,19,0,0
6100,19,0,0
6200,20,0,0
6300,21,0,0
6400,21,0,0
6500,22,0,0
6600,22,0,0
6700,24,0,0
6800,24,0,0
6900,25,0,0
7000,26,0,0
7100,27,0,0
7200,27,0,0
7300,27,0,0
7400,28,0,0
7500,29,0,0
7600,30,0,0
7700,31,0,0
7800,32,0,0
7900,32,0,0
8000,33,0,0
8100,34,0,0
8200,35,0,0
8300,36,0,0
8400,36,0,0
8500,38,0,0
8600,38,0,0
8700,39,0,0
8800,40,0,0
8900,41,0,0
9000,42,0,0
9100,43,0,0
9200,44,0,0
9300,45,0,0
9400,47,0,0
9500,47,0,0
9600,48,0,0
9700,50,0,0
9800,51,0,0
9900,51,0,0
10000,53,0,0
10100,53,0,0
10200,54,0,0
10300,55,0,0
10400,56,0,0
10500,57,0,0
10600,60,0,0
10700,60,0,0
10800,61,0,0
10900,62,0,0
11000,63,0,0
11100,64,0,0
11200,66,0,0
11300,67,0,0
11400,68,0,0
11500,69,0,0
11600,70,0,0
11700,71,0,0
11800,73,0,0
11900,74,0,0
12000,76,0,0
12100,77,0,0
12200,79,0,0
12300,79,0,0
12400,80,0,0
12500,81,0,0
12600,86,0,0
12700,86,0,0
12800,90,0,0
12900,89,0,0
13000,90,0,0
13100,91,0,0
13200,93,0,0
13300,97,0,0
13400,96,0,0
13500,108,0,0
13600,99,0,0
13700,109,0,0
13800,102,0,0
13900,102,0,0
14000,104,0,0
14100,106,0,0
14200,111,0,0
14300,111,0,0
14400,115,0,0
14500,115,0,0
14600,119,0,0
14700,119,0,0
14800,124,0,0
14900,122,0,0
15000,124,0,0
15100,124,0,0
15200,124,0,0
15300,126,0,0
15400,130,0,0
15500,132,0,0
15600,136,0,0
15700,137,0,0
15800,138,0,0
15900,139,0,0
16000,140,0,0
16100,141,0,0
16200,148,0,0
16300,148,0,0
16400,150,0,0
16500,152,0,0
16600,153,0,0
16700,155,0,0
16800,154,0,0
16900,157,0,0
17000,159,0,0
17100,163,0,0
17200,169,0,0
17300,168,0,0
17400,166,0,0
17500,170,0,0
17600,172,0,0
17700,172,0,0
17800,172,0,0
17900,175,0,0
18000,179,0,0
18100,186,0,0
18200,185,0,0
18300,184,0,0
18400,186,0,0
18500,189,0,0
18600,192,0,0
18700,196,0,0
18800,194,0,0
18900,197,0,0
19000,200,0,0
19100,201,0,0
19200,224,0,0
19300,207,0,0
19400,206,0,0
19500,211,0,0
19600,213,0,0
19700,214,0,0
19800,218,0,0
19900,218,0,0
