size,Array,LinkedList
0,24,440
100,4824,5264
200,9624,10464
300,14424,16064
400,19224,20864
500,24024,27264
600,28824,32064
700,33624,36864
800,38424,41664
900,43224,49664
1000,48024,54464
1100,52824,59264
1200,57624,64064
1300,62424,68864
1400,67224,73664
1500,72024,78464
1600,76824,83264
1700,81624,94464
1800,86424,99264
1900,91224,104064
2000,96024,108864
2100,100824,113664
2200,105624,118464
2300,110424,123264
2400,115224,128064
2500,120024,132864
2600,124824,137664
2700,129624,142464
2800,134424,147264
2900,139224,152064
3000,144024,156864
3100,148824,161664
3200,153624,166464
3300,158424,184064
3400,163224,188864
3500,168024,193664
3600,172824,198464
3700,177624,203264
3800,182424,208064
3900,187224,212864
4000,192024,217664
4100,196824,222464
4200,201624,227264
4300,206424,232064
4400,211224,236864
4500,216024,241664
4600,220824,246464
4700,225624,251264
4800,230424,256064
4900,235224,260864
5000,240024,265664
5100,244824,270464
5200,249624,275264
5300,254424,280064
5400,259224,284864
5500,264024,289664
5600,268824,294464
5700,273624,299264
5800,278424,304064
5900,283224,308864
6000,288024,313664
6100,292824,318464
6200,297624,323264
6300,302424,328064
6400,307224,332864
6500,312024,363264
6600,316824,368064
6700,321624,372864
6800,326424,377664
6900,331224,382464
7000,336024,387264
7100,340824,392064
7200,345624,396864
7300,350424,401664
7400,355224,406464
7500,360024,411264
7600,364824,416064
7700,369624,420864
7800,374424,425664
7900,379224,430464
8000,384024,435264
8100,388824,440064
8200,393624,444864
8300,398424,449664
8400,403224,454464
8500,408024,459264
8600,412824,464064
8700,417624,468864
8800,422424,473664
8900,427224,478464
9000,432024,483264
9100,436824,488064
9200,441624,492864
9300,446424,497664
9400,451224,502464
9500,456024,507264
9600,460824,512064
9700,465624,516864
9800,470424,521664
9900,475224,526464
10000,480024,531264
10100,484824,536064
10200,489624,540864
10300,494424,545664
10400,499224,550464
10500,504024,555264
10600,508824,560064
10700,513624,564864
10800,518424,569664
10900,523224,574464
11000,528024,579264
11100,532824,584064
11200,537624,588864
11300,542424,593664
11400,547224,598464
11500,552024,603264
11600,556824,608064
11700,561624,612864
11800,566424,617664
11900,571224,622464
12000,576024,627264
12100,580824,632064
12200,585624,636864
12300,590424,641664
12400,595224,646464
12500,600024,651264
12600,604824,656064
12700,609624,660864
12800,614424,665664
12900,619224,721664
13000,624024,726464
13100,628824,731264
13200,633624,736064
13300,638424,740864
13400,643224,745664
13500,648024,750464
13600,652824,755264
13700,657624,760064
13800,662424,764864
13900,667224,769664
14000,672024,774464
14100,676824,779264
14200,681624,784064
14300,686424,788864
14400,691224,793664
14500,696024,798464
14600,700824,803264
14700,705624,808064
14800,710424,812864
14900,715224,817664
15000,720024,822464
15100,724824,827264
15200,729624,832064
15300,734424,836864
15400,739224,841664
15500,744024,846464
15600,748824,851264
15700,753624,856064
15800,758424,860864
15900,763224,865664
16000,768024,870464
16100,772824,875264
16200,777624,880064
16300,782424,884864
16400,787224,889664
16500,792024,894464
16600,796824,899264
16700,801624,904064
16800,806424,908864
16900,811224,913664
17000,816024,918464
17100,820824,923264
17200,825624,928064
17300,830424,932864
17400,835224,937664
17500,840024,942464
17600,844824,947264
17700,849624,952064
17800,854424,956864
17900,859224,961664
18000,864024,966464
18100,868824,971264
18200,873624,976064
18300,878424,980864
18400,883224,985664
18500,888024,990464
18600,892824,995264
18700,897624,1000064
18800,902424,1004864
18900,907224,1009664
19000,912024,1014464
19100,916824,1019264
19200,921624,1024064
19300,926424,1028864
19400,931224,1033664
19500,936024,1038464
19600,940824,1043264
19700,945624,1048064
19800,950424,1052864
19900,955224,1057664
